CLASS;FC;FE;CL;SOMCPH;FTOTAL;FRNAPH;FRNAPH I;FRNAPH II;FRNAPH III;FRNAPH IV;RYC2056;COP;ETHYLCOP;EPICOP;CHOL;DiE;FM-FS;Hir;DiC;ECP;ECT;GA17;Dentium;Adolescentis;DA;HBSA-Y;HBSA-T
P1-HM06;17000000;1600000;600000;6200000;470000;410000;9,1;60,6;30,3;0;33000;15,8711802100653;9,28017437058441;<1;17,1948540121609;0,982;71;4;0,971;71;46;190000;1;1;2;18600000;38904514
P1-HM07;9700000;480000;130000;5100000;970000;870000;7;70,4;22;1;37000;5,78765132213709;<1;<1;12,1390615479826;0,953;71;13;0,935;88;45;97000;1;1;2;3630780;7762472
P1-HM08;9200000;940000;450000;8600000;760000;740000;2;59;38;1;57000;19,3597366854152;10,1364700287093;0,719170792444488;17,345227761191;0,989;50;13;0,902;96;75;12000;0;1;1;3715352;9332543
P1-HM09;2400000;1700000;400000;15000000;920000;830000;2,3;62,8;34,9;0;15000;31,4210549193652;11,4985252717094;0,896106744720861;28,6811198267625;0,935;46;38;0,935;79;0;240000;1;1;2;8912590;26915348
P1-HM12;34000000;450000;320000;9000000;1300000;1200000;0;91,5;7,1;1,4;64000;27,1691978472574;132,902043686706;49,5962099109796;2884,36657707107;0,964;54;25;0,931;96;50;140000;1;1;2;5011872;8912509
P1-HM13;5200000;350000;100000;2600000;540000;400000;0;91;9;0;24000;11,5;22,6;<0,1;<0,1;0,935;67;21;0,996;83;67;24000;1;1;2;588843;51286138
P1-HM14;12000000;820000;250000;3100000;620000;450000;5;41;51;2;41000;254,2;32,9;13,3;63,3;0,975;58;25;0,993;75;58;720000;1;1;2;891250;10000000
P1-HM15;13000000;1000000;360000;5600000;740000;640000;0;69;31;0;102000;9,1;1,8;1,6;3,5;0,986;71;25;0,993;92;83;43000;0;1;1;6309573;33884415
P1-HM16;9000000;720000;480000;1500000;290000;280000;4;61;35;0;340000;69;15,6;12;33,4;0,917;46;38;0,931;100;100;12000;1;1;2;588843;3162277
P1-HM17;7100000;800000;290000;4800000;420000;390000;12;54;34;0;94000;65,9;17,8;9,4;29,8;0,967;71;13;0,989;83;75;56000;1;1;2;19952623;79432823
P1-HM18;5100000;120000;56000;4300000;390000;370000;0;97;3;0;36000;441,4;118,2;82,7;323,8;0,917;83;25;0,982;83;71;61000;1;1;2;100000;398107
P1-HM19;11000000;550000;160000;5300000;840000;770000;0;70;30;0;33000;446,5;391,7;126,5;300;0,935;79;4;0,993;79;58;30000;1;1;2;501187;1995262
P1-HM20;23000000;1600000;450000;5700000;410000;310000;3;24;73;0;110000;137,3;53,7;26;73,8;0,979;67;33;0,989;92;92;9000;0;1;1;5495408;16982436
P1-HM21;18000000;2500000;630000;2800000;480000;450000;0;46;54;0;14000;157,9;21,1;19,8;66,7;0,946;88;4;0,974;96;63;22000;0;1;1;1000000;7943282
P1-HM22;3000000;2300000;630000;6600000;380000;330000;0;95;5;0;88000;112,6;18,3;7,6;45;0,953;50;17;0,975;88;75;55000;0;1;1;7079457;19952623
P1-CW10;39000000;270000;520000;12000000;5600000;3600;86;0;6,8;6,8;66000;388,2;298,6;107,2;385,4;0,993;46;33;0,957;100;92;<20;0;0;0;< 10000;2089296
P1-PG07;36000000;240000;120000;3100000;5300000;5200000;4;3;91,2;1,8;19000;3,2563570538637;10,1074711630829;2,66867955527244;12,8070776290202;0,967;54;8;0,808;83;63;250;0;0;0;< 39810;3981071
P1-PG10;35000000;300000;79000;120000000;1300000;1300000;48;0;33;19;910000;133,5;79;48,5;114,7;0,877;67;29;0,995;100;88;<20;0;0;0;<100000;60255958
P1-PG12;67000000;540000;180000;69000000;1300000;1100000;0;69;31;0;82000;3;40,9;1,5;113,5;0,978;67;8;0,938;100;100;<20;0;0;0;891250;27542287
P1-PG13;7200000;110000;31000;12000000;380000;360000;2;0;95;3;22000;8,5;12,4;7,1;15;0,978;75;12;0,98;92;75;140;0;0;0;< 10000;1202264
P1-PL09;180000000;6500000;10000;7900000;14000000;14000000;94,8;0;3,27;1,96;200000;7,83095648102658;10,3730555558697;11,0164767138591;23,1530431854859;0,801;79;4;0,855;100;79;<20;0;0;0;< 39810;39810717
